,description,alertlevel,alertscore,episodealertlevel,episodealertscore,country,fromdate,todate,severity (magnitude),source,iso3,Death,Displaced,GDACS_ID,longitude,latitude
1012,GREEN Flood in Australia from: 27 Jun 2007 00 to: 27 Jun 2007 00.,GREEN,1,Green,1,Australia,27/06/2007 0:00,27/06/2007 0:00,5.69,DFO,   ,1,300,FL 3114,146.856,-37.936
1130,GREEN Flood in Australia from: 25 Dec 2009 00 to: 25 Dec 2009 00.,GREEN,1,Green,1,Australia,25/12/2009 0:00,25/12/2009 0:00,5.78,DFO,   ,0,-1,FL 3586,151.752,-31.176
1136,GREEN Flood in Australia from: 28 Feb 2010 00 to: 28 Feb 2010 00.,GREEN,1,Green,1,Australia,28/02/2010 0:00,28/02/2010 0:00,7.19,DFO,   ,0,-1,FL 3615,147.956,-26.216
1172,GREEN Flood in Australia from: 27 Nov 2010 00 to: 27 Nov 2010 00.,GREEN,1,Green,1,Australia,27/11/2010 0:00,27/11/2010 0:00,7.6,DFO,   ,5,3000,FL 3752,147.388,-29.839
1229,GREEN Flood in Australia from: 27 Nov 2011 00 to: 22 Dec 2011 23.,GREEN,1,Green,1,Australia,27/11/2011 0:00,22/12/2011 23:59,6.07,DFO,   ,1,60,FL 3879,149.372,-29.459
1236,GREEN Flood in Australia from: 22 Jan 2012 00 to: 07 Mar 2012 23.,GREEN,1,Green,1,Australia,22/01/2012 0:00,7/03/2012 23:59,7.85,DFO,   ,2,13000,FL 3894,146.646,-21.718
1307,GREEN Flood in Australia from: 22 Jan 2013 00 to: 01 Feb 2013 23.,GREEN,1,Green,1,Australia,22/01/2013 0:00,1/02/2013 23:59,7.23,DFO,   ,6,8000,FL 4024,144.818,-19.373
1314,GREEN Flood in Australia from: 25 Feb 2013 00 to: 04 Mar 2013 23.,GREEN,1,Green,1,Australia,25/02/2013 0:00,4/03/2013 23:59,6.28,DFO,   ,2,200,FL 4034,149.832,-24.971
1361,GREEN Flood in Australia from: 24 Mar 2014 00 to: 30 Mar 2014 23.,GREEN,1,Green,1,Australia,24/03/2014 0:00,30/03/2014 23:59,6.42,DFO,-1,1,-1,FL 4130,150.117,-26.242
1412,Green Flood in Australia from: 22 Feb 2015 00 to: 24 Feb 2015 23.,Green,1,Green,1,Australia,22/02/2015 0:00,24/02/2015 23:59,6.3,DFO,-1,0,350,FL 4226,135.716,-18.2
1421,Green Flood in Australia from: 20 Apr 2015 00 to: 28 Apr 2015 23.,Green,1,Green,1,Australia,20/04/2015 0:00,28/04/2015 23:59,6.5,DFO,-1,4,1000,FL 4244,150.612,-33.382
1463,Green Flood in Australia from: 23 Dec 2015 00 to: 06 Jan 2016 23.,Green,1,Green,1,Australia,23/12/2015 0:00,6/01/2016 23:59,6,DFO,AUS,0,-1,FL 4316,152.121,-30.357
1467,Green Flood in Australia from: 25 Jan 2016 00 to: 03 Feb 2016 23.,Green,1,Green,1,Australia,25/01/2016 0:00,3/02/2016 23:59,6.04,DFO,AUS,0,-1,FL 4332,142.05,-21.576
1474,Green Flood in Australia from: 27 Jan 2016 00 to: 29 Jan 2016 23.,Green,1,Green,1,Australia,27/01/2016 0:00,29/01/2016 23:59,5.14,DFO,AUS,0,-1,FL 4327,145.712,-41.858
1499,Green Flood in Australia from: 19 Jun 2016 00 to: 24 Jun 2016 23.,Green,1,Green,1,Australia,19/06/2016 0:00,24/06/2016 23:59,6.85,DFO,AUS,0,-1,FL 4367,145.663,-25.197
1526,Green Flood in Australia from: 25 Dec 2016 00 to: 05 Jan 2017 23.,Green,1,Green,-1,Australia,25/12/2016 0:00,5/01/2017 23:59,7.32,DFO,AUS,0,100,FL 4428,133.489,-21.522
1541,green Flood in Australia from: 27 Mar 2017 00 to: 30 Mar 2017 00.,green,1,green,0,Australia,27/03/2017 0:00,30/03/2017 0:00,0,JRC,AUS,1,30000,FL 1000074,148.864,-23.073
1725,Green Flood in Australia from: 25 Jul 2020 00 to: 28 Jul 2020 00.,Green,1,Green,0.5,Australia,25/07/2020 0:00,28/07/2020 0:00,0,GLOFAS,AUS,0,-1,FL 1100548,151.7821279,-32.92855695
1902,Green Flood in Australia from: 29 Dec 2022 01 to: 05 Jan 2023 01.,Green,1,Green,0.5,Australia,29/12/2022 1:00,5/01/2023 1:00,0,GLOFAS,AUS,0,700,FL 1101802,149.1012676,-35.2975906
1943,Green Flood in Australia from: 28 Nov 2023 01 to: 30 Nov 2023 01.,Green,1,Green,0.5,Australia,28/11/2023 1:00,30/11/2023 1:00,0,GLOFAS,AUS,0,-1,FL 1102364,147.2869493,-31.8759835
1953,Green Flood in Australia from: 01 Jan 2024 01 to: 23 Feb 2024 01.,Green,1,Green,0.5,Australia,1/01/2024 1:00,23/02/2024 1:00,0,GLOFAS,AUS,0,286,FL 1102425,148.2493858,-41.3236306
1968,Green Flood in Australia from: 30 Mar 2024 01 to: 12 Apr 2024 01.,Green,1,Green,0.5,Australia,30/03/2024 1:00,12/04/2024 1:00,0,GLOFAS,AUS,1,-1,FL 1102554,115.8605855,-31.9558933
2054,Green Flood in Australia from: 17 Jan 2025 01 to: 16 Feb 2025 01.,Green,1,Green,0.5,Australia,17/01/2025 1:00,16/02/2025 1:00,0,GLOFAS,AUS,1,60,FL 1103088,119.5905532,-20.6485118
2077,Green Flood in Australia from: 20 Mar 2025 14 to: 13 Apr 2025 01.,Green,1,Green,0.5,Australia,20/03/2025 14:00,13/04/2025 1:00,0,GLOFAS,AUS,0,50,FL 1103174,140.7375818,-27.745643
2097,Green Flood in Australia from: 26 Apr 2025 01 to: 28 Apr 2025 01.,Green,1,Green,0.5,Australia,26/04/2025 1:00,28/04/2025 1:00,0,GLOFAS,AUS,0,-1,FL 1103242,152.2075678,-32.4128925
