description,alertlevel,alertscore,episodealertscore,country,fromdate,todate,severity (ha),iso3,GDACS ID,People affected,Duration (days),longitude,latitude
Green Forest fires in Australia from: 31 Mar 2022 to: 10 Apr 2022.,Green,1,0.5,Australia,31/03/2022,10/04/2022,22620,AUS,WF 1005243,0,10,134.3620926,-13.78687961
Green Forest fires in Australia from: 31 Mar 2022 to: 10 Apr 2022.,Green,1,0.5,Australia,31/03/2022,10/04/2022,55796,AUS,WF 1005150,0,10,128.0898789,-16.01109277
Green Forest fires in Australia from: 22 Mar 2022 to: 10 Apr 2022.,Green,1,0.5,Australia,22/03/2022,10/04/2022,101613,AUS,WF 1005120,0,19,137.3526169,-17.71368758
Green Forest fires in Australia from: 30 Mar 2022 to: 09 Apr 2022.,Green,1,0.5,Australia,30/03/2022,9/04/2022,24061,AUS,WF 1005175,0,10,133.8358058,-13.88811991
Green Forest fires in Australia from: 31 Mar 2022 to: 09 Apr 2022.,Green,1,0.5,Australia,31/03/2022,9/04/2022,6012,AUS,WF 1005227,0,9,127.6532927,-15.36599399
Green Forest fires in Australia from: 29 Mar 2022 to: 09 Apr 2022.,Green,1,0.5,Australia,29/03/2022,9/04/2022,5240,AUS,WF 1005321,0,11,131.3601497,-15.74225619
Green Forest fires in Australia from: 30 Mar 2022 to: 09 Apr 2022.,Green,1,0.5,Australia,30/03/2022,9/04/2022,6624,AUS,WF 1005287,0,10,130.2938836,-16.04751663
Green Forest fires in Australia from: 28 Mar 2022 to: 08 Apr 2022.,Green,1,0.5,Australia,28/03/2022,8/04/2022,14951,AUS,WF 1005248,0,11,126.8111441,-16.91167762
Green Forest fires in Australia from: 26 Mar 2022 to: 08 Apr 2022.,Green,1,0.5,Australia,26/03/2022,8/04/2022,34804,AUS,WF 1005027,0,13,129.8986184,-18.52042651
Green Forest fires in Australia from: 30 Apr 2022 to: 10 May 2022.,Green,1,0.5,Australia,30/04/2022,10/05/2022,6052,AUS,WF 1006028,0,10,126.0656746,-16.91736818
Green Forest fires in Australia from: 30 Apr 2022 to: 10 May 2022.,Green,1,0.5,Australia,30/04/2022,10/05/2022,6457,AUS,WF 1006029,0,10,133.2023994,-14.33441296
Green Forest fires in Australia from: 30 Apr 2022 to: 09 May 2022.,Green,1,0.5,Australia,30/04/2022,9/05/2022,7963,AUS,WF 1005990,0,9,136.58917,-17.16490025
Green Forest fires in Australia from: 30 Apr 2022 to: 08 May 2022.,Green,1,0.5,Australia,30/04/2022,8/05/2022,8667,AUS,WF 1005989,0,8,116.2973817,-32.5052929
Green Forest fires in Australia from: 28 Apr 2022 to: 30 Apr 2022.,Green,1,0.5,Australia,28/04/2022,30/04/2022,6015,AUS,WF 1005895,0,2,130.8596155,-23.59722282
Green Forest fires in Australia from: 28 Apr 2022 to: 30 Apr 2022.,Green,1,0.5,Australia,28/04/2022,30/04/2022,8740,AUS,WF 1005897,0,2,126.5888425,-15.71225991
